Id,Start,End,Implementor,Requestor,Department,IsApproved,RiskEval_RiskValue,RiskEval_Result,SubmittedOn,SubmittedBy,Category,TypeOfChange,WorkflowApprovedOn,WorkflowStep,DB_CreatedDate,DB_LastModifiedDate,Dump,Closed Status,Season,WorkflowStep,TotalTimeForChange,CLOSED COUNT
3600,4/6/2021 5:00,4/6/2021 7:00,tschind4,tschind4,Security and Access Management,0,3,C2,15:08.0,achiccar,Network,Normal,58:44.0,Completed,14:51.5,14:39.0,1:55,TRUE,Spring,Completed,2,1
3599,3/30/2021 5:00,3/30/2021 7:00,mberry,dabbott5, Office of Global Education,1,3,S2,51:04.0,jtboehm,FlashLine,Standard,00:00.0,Implemented,00:54.1,14:39.1,1:55,TRUE,Spring,CAB2,2,1
3598,3/26/2021 5:00,3/26/2021 18:00,achiccar,achiccar,NTS,1,2,E2,01:39.0,mmeszar,Telecom,Emergency,30:17.0,Completed,00:59.9,14:39.3,12:57,TRUE,Spring,Completed,13,1
3597,3/30/2021 5:00,3/30/2021 5:43,creeder2,cirobert,AOS,1,3,C2,52:24.0,mridgill,Banner,Normal,03:22.0,Completed,00:59.8,14:39.2,0:43,TRUE,Spring,Completed,0.716666667,1
3596,4/1/2021 5:00,4/1/2021 7:00,mberry,mridgill,Institutional Advancement,1,4,C4,00:46.0,degregio,DegreeWorks,Normal,04:10.0,CAB,00:59.7,14:39.2,1:55,TRUE,Spring,CAB,2,1
3595,3/30/2021 5:00,3/30/2021 7:00,khodar,khodar,IO,0,3,S2,13:38.0,mladoia,WWW,Standard,00:00.0,Implemented,00:19.2,14:39.5,1:55,TRUE,Spring,CAB2,2,1
3594,3/30/2021 6:00,3/30/2021 6:30,jschilen,lpark,Infrastructure Engineering,0,4,C3,55:03.0,jdunfee,Outsystems,Normal,59:25.0,Completed,00:19.2,14:39.4,0:28,TRUE,Spring,Completed,0.5,1
3593,3/30/2021 5:00,3/30/2021 7:00,khodar,tmryan,IE,1,4,C4,12:15.0,ckourckl,Outsystems,Normal,24:12.0,CAB,01:00.1,14:39.6,1:55,TRUE,Spring,CAB,2,1
3592,4/18/2021 5:00,4/18/2021 7:00,jbish,jbish,Admissions,1,3,C2,08:33.0,mberry,Banner,Normal,48:43.0,Completed,01:05.0,14:39.7,1:55,TRUE,Spring,Completed,2,1
3591,3/30/2021 5:00,3/30/2021 7:00,cshaff14,rbauman2,Data Center Operations,1,4,C4,08:29.0,lbowser,Document Imaging,Normal,49:37.0,CAB,01:04.9,14:39.6,1:55,TRUE,Spring,CAB,2,1
3590,3/28/2021 5:00,3/28/2021 7:00,mgeist,mgeist,NTS,1,4,C4,56:20.0,degregio,DegreeWorks,Normal,52:43.0,CAB,01:06.8,14:43.6,1:55,TRUE,Spring,CAB,2,1
3589,4/11/2021 5:00,4/11/2021 9:00,amoreira,dbenner1,Admissions,0,3,V2,50:46.0,mpapania,Outsystems,Vendor,00:00.0,Implemented,01:03.1,14:39.9,4:04,TRUE,Spring,CAB2,4,1
3588,4/12/2021 5:00,4/12/2021 8:00,khodar,mberry,IS,1,4,C2,39:08.0,mpapania,Outsystems,Normal,40:07.0,Completed,01:03.1,14:39.8,3:07,TRUE,Spring,Completed,3,1
3587,3/26/2021 8:00,3/26/2021 9:00,sshaff17,mwill186,NTS,0,4,C4,50:02.0,pdudipal,CRM,Normal,53:07.0,CAB,00:57.5,14:39.9,0:57,TRUE,Spring,CAB,1,1
3586,3/28/2021 5:00,3/28/2021 7:00,motgonyi,msmit319,is,1,4,C4,44:34.0,codaniel,Banner,Normal,54:15.0,CAB,00:23.2,14:40.0,1:55,TRUE,Spring,CAB,2,1
3585,4/11/2021 10:00,4/11/2021 18:00,adhuston,adhuston,Infrastructure Engineering,1,4,C2,55:40.0,jpursel,IE - CIG,Normal,26:55.0,Completed,00:58.9,14:40.1,7:55,TRUE,Spring,Completed,8,1
3584,3/25/2021 5:00,3/25/2021 7:00,lbowser,agee,Student Financial Aid,1,3,C2,32:45.0,mgeist,Network,Normal,45:44.0,Completed,45:22.1,14:40.3,1:55,TRUE,Spring,Completed,2,1
3583,3/18/2021 14:00,3/18/2021 14:30,motgonyi,rmmiles,"IDM, Helpdesk / Service Management",1,4,S4,34:35.0,achiccar,Network,Standard,00:00.0,Implemented,45:22.0,14:40.2,0:28,TRUE,Spring,CAB2,0.5,1
3582,3/21/2021 5:00,3/21/2021 7:00,mberry,degregio,GPS (Graduation Planning System),0,4,C4,17:01.0,tbowser,Banner,Normal,55:55.0,CAB,00:54.7,14:40.3,1:55,TRUE,Spring,CAB,2,1
3581,3/21/2021 5:00,3/21/2021 7:00,cshaff14,rbauman2,Data Center Operations,1,4,C4,52:10.0,tbowser,Banner,Normal,54:33.0,CAB,01:14.3,14:40.4,1:55,TRUE,Spring,CAB,2,1
3580,3/17/2021 7:30,3/17/2021 13:00,mberry,mridgill,Registrar,0,4,IE,51:33.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:56.6,14:40.6,5:31,TRUE,Spring,CAB2,5.5,1
3579,3/23/2021 6:00,3/23/2021 6:30,khodar,khodar,SSE,0,4,C4,50:06.0,jdunfee,Outsystems,Normal,35:06.0,CAB,00:56.5,14:40.6,0:28,TRUE,Spring,CAB,0.5,1
3578,3/22/2021 8:00,3/22/2021 10:00,adhuston,adhuston,Infrastructure Engineering,1,4,IE,08:40.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:56.4,14:40.5,1:55,TRUE,Spring,CAB2,2,1
3577,4/20/2021 8:00,4/20/2021 12:00,jhale16,sbarbour,Security,1,3,IE,19:52.0,cshaff14,Data Center,Informational,00:00.0,Implemented,01:29.3,14:40.7,4:04,TRUE,Spring,CAB2,4,1
3576,3/17/2021 7:30,3/17/2021 13:00,mberry,treynold,Registrar,1,4,IE,51:33.0,cshaff14,Data Center,Informational,00:00.0,Implemented,01:29.2,01:29.2,5:31,TRUE,Spring,CAB2,5.5,1
3575,3/27/2021 1:00,3/27/2021 14:00,sbarbour,sbarbour,Security,1,3,S3,46:17.0,adhuston,IE - CIG,Standard,00:00.0,Implemented,01:02.7,14:40.8,12:57,TRUE,Spring,CAB2,13,1
3574,3/17/2021 9:30,3/17/2021 12:30,mberry,tbowser,FINANCIAL AID,0,4,IE,42:44.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:57.0,14:40.9,3:07,TRUE,Spring,CAB2,3,1
3573,3/12/2021 15:00,3/12/2021 15:30,bzahn,cirobert,AOS,0,4,IE,23:58.0,jlpiporo,Network,Informational,00:00.0,Implemented,01:12.7,14:41.0,0:28,TRUE,Spring,CAB2,0.5,1
3572,3/23/2021 6:00,3/23/2021 7:00,degregio,degregio,GPS (Graduation Planning System),1,4,C4,41:22.0,jlpiporo,Network,Normal,46:05.0,CAB,01:12.6,14:40.9,0:57,TRUE,Spring,CAB,1,1
3571,3/16/2021 6:00,3/16/2021 6:30,mberry,degregio,GPS (Graduation Planning System),0,4,C3,52:57.0,jdunfee,Outsystems,Normal,55:16.0,CAB,00:33.4,14:41.1,0:28,TRUE,Spring,CAB,0.5,1
3570,3/11/2021 13:10,3/11/2021 15:00,cshaff14,mbungar1,IS-SDI,0,4,S4,04:54.0,achiccar,Network,Standard,00:00.0,Implemented,15:20.4,14:41.1,1:55,TRUE,Spring,CAB2,1.833333333,1
3569,3/12/2021 13:00,3/12/2021 19:00,achiccar,achiccar,NTS,1,3,C3,24:34.0,mgeist,Network,Normal,28:20.0,Completed,01:03.0,14:41.3,6:00,TRUE,Spring,Completed,6,1
3568,3/26/2021 15:15,3/26/2021 21:00,sbarbour,sbarbour,Security & Access Management,0,3,C3,28:38.0,mgeist,Network,Normal,32:25.0,Completed,01:02.9,14:41.2,5:45,TRUE,Spring,Completed,5.75,1
3567,3/16/2021 5:00,3/16/2021 7:00,wbainey,jeveleth,Data Center Operations,1,4,C4,44:33.0,msmit319,Outsystems,Normal,19:11.0,CAB,00:15.1,14:41.3,1:55,TRUE,Spring,CAB,2,1
3566,3/16/2021 5:00,3/16/2021 7:00,mgeist,mgeist,NTS,1,3,S2,34:31.0,mladoia,WWW,Standard,00:00.0,Implemented,03:04.5,14:41.8,1:55,TRUE,Spring,CAB2,2,1
3565,3/11/2021 5:00,3/11/2021 7:00,nlupica1,nlupica1,Infrastructure Engineering,1,3,S3,21:22.0,alizak,Network,Standard,00:00.0,Implemented,03:04.5,14:41.7,1:55,TRUE,Spring,CAB2,2,1
3564,3/11/2021 6:00,3/11/2021 6:45,motgonyi,jdunfee,IT,1,4,S4,25:17.0,alizak,Network,Standard,00:00.0,Implemented,03:04.4,14:41.6,0:43,TRUE,Spring,CAB2,0.75,1
3563,3/11/2021 5:00,3/11/2021 7:00,motgonyi,motgonyi,is/sdi,0,3,C2,48:07.0,mgeist,Network,Normal,57:38.0,Completed,03:04.3,14:41.6,1:55,TRUE,Spring,Completed,2,1
3562,3/14/2021 4:00,3/14/2021 7:00,cshaff14,dmaxwel9,Human Resources,1,4,C1,21:04.0,jschilen,IE - Server,Urgent,00:17.0,Completed,03:04.2,14:41.5,3:07,TRUE,Spring,Completed,3,1
3561,3/14/2021 6:00,3/14/2021 7:00,mladoia,mladoia,IT/UCM,1,4,C2,09:03.0,rmmiles,IAM,Normal,09:43.0,Completed,03:04.2,14:41.4,0:57,TRUE,Spring,Completed,1,1
3560,3/10/2021 10:00,3/10/2021 13:00,mberry,treynold,Advising,1,4,S4,19:37.0,achiccar,Network,Standard,00:00.0,Implemented,00:20.0,14:42.1,3:07,TRUE,Spring,CAB2,3,1
3559,3/14/2021 3:00,3/14/2021 7:00,mberry,tbowser,EMSA,1,4,S4,26:53.0,tmohr2,IE - Server,Standard,00:00.0,Implemented,00:19.9,14:42.0,4:04,TRUE,Spring,CAB2,4,1
3558,3/28/2021 1:00,3/28/2021 7:00,jwagne28,jwagne28,information technology,1,3,S3,28:28.0,tmohr2,IE - Server,Standard,00:00.0,Implemented,00:19.8,14:41.9,6:00,TRUE,Spring,CAB2,6,1
3557,3/27/2021 3:00,3/27/2021 7:00,mgeist,mgeist,NTS / Security,1,4,S4,31:10.0,tmohr2,IE - Server,Standard,00:00.0,Implemented,00:19.7,14:41.8,4:04,TRUE,Spring,CAB2,4,1
3556,3/10/2021 9:30,3/10/2021 12:30,jtboehm,jtboehm,sdi,1,4,IE,42:45.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:57.0,14:42.1,3:07,TRUE,Spring,CAB2,3,1
3555,3/14/2021 5:00,3/14/2021 7:00,jbish,cirobert,Recruiting,1,4,C4,10:51.0,tbowser,Banner,Normal,32:31.0,CAB,01:06.3,14:42.3,1:55,TRUE,Spring,CAB,2,1
3554,3/11/2021 8:30,3/11/2021 15:00,tmohr2,wbainey,Infrastructure Operations,1,4,IE,47:21.0,tbordon1,Network,Informational,00:00.0,Implemented,01:06.2,14:42.2,6:28,TRUE,Spring,CAB2,6.5,1
3553,3/14/2021 6:00,3/14/2021 6:30,ebolling,ebolling,Identity Management,0,4,C1,05:51.0,dveits,Other,Normal,00:00.0,Implemented,00:46.6,14:42.3,0:28,TRUE,Spring,CAB2,0.5,1
3552,3/9/2021 5:00,3/9/2021 7:00,dmills1,dmills1,IE,0,4,C4,26:18.0,wrobins,Web,Urgent,50:15.0,Completed,03:04.3,14:42.5,1:55,TRUE,Spring,Completed,2,1
3551,3/13/2021 10:00,3/13/2021 13:00,jtboehm,jtboehm,sdi,1,3,S3,36:15.0,adhuston,IE - CIG,Standard,00:00.0,Implemented,03:04.2,14:42.4,3:07,TRUE,Spring,CAB2,3,1
3550,3/9/2021 6:00,3/9/2021 7:00,cshaff14,wrobins,University Advising and Testing,1,4,C4,47:45.0,wrobins,Outsystems,Urgent,30:26.0,CAB,01:12.2,14:42.6,0:57,TRUE,Spring,CAB,1,1
3549,3/8/2021 13:00,3/8/2021 15:00,alizak,mgeist,NTS,1,4,IE,24:15.0,achiccar,Network,Informational,00:00.0,Implemented,01:12.1,14:42.6,1:55,TRUE,Spring,CAB2,2,1
3548,3/8/2021 8:00,3/8/2021 14:00,sstillis,mladoia,IS,0,4,IE,30:20.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:58.9,14:42.7,6:00,TRUE,Spring,CAB2,6,1
3547,3/7/2021 5:00,3/7/2021 7:00,motgonyi,motgonyi,it/sdi,1,3,C3,47:46.0,tbowser,Banner,Urgent,40:18.0,CAB,01:03.4,14:42.8,1:55,TRUE,Spring,CAB,2,1
3546,3/23/2021 6:00,3/23/2021 7:00,sshaff17,sshaff17,NTS,0,4,C2,59:01.0,jschilen,IE - Server,Normal,00:04.0,Completed,00:38.9,14:42.9,0:57,TRUE,Spring,Completed,1,1
3545,9/4/2021 14:55,9/4/2021 14:55,tmohr2,tschind4,ITS,1,4,C1,56:53.0,achiccar,Network,Normal,00:00.0,Approver,00:35.0,00:59.2,0:00,FALSE,Fall,Approver,0,0
3544,3/10/2021 5:00,3/10/2021 7:00,alizak,mgeist,NTS,1,3,C1,26:29.0,mgeist,Network,Normal,28:48.0,Completed,30:34.2,14:42.9,1:55,TRUE,Spring,Completed,2,1
3543,3/7/2021 5:00,3/7/2021 5:30,wrobins,jdunfee,IS,1,3,C2,42:52.0,mridgill,Banner,Normal,05:39.0,Completed,01:01.4,14:43.1,0:28,TRUE,Spring,Completed,0.5,1
3542,3/8/2021 8:00,3/8/2021 9:00,achiccar,achiccar,NTS,1,4,C4,37:09.0,pdudipal,CRM,Normal,02:12.0,CAB,01:01.4,14:43.1,0:57,TRUE,Spring,CAB,1,1
3541,3/7/2021 5:00,3/7/2021 7:00,khodar,khodar,IE,1,3,C3,48:16.0,treynold,Banner,Normal,04:36.0,Completed,01:01.3,14:43.0,1:55,TRUE,Spring,Completed,2,1
3540,3/7/2021 5:00,3/7/2021 7:00,jlpiporo,mgeist,Network Services,0,4,C4,25:58.0,mberry,Banner,Normal,44:24.0,CAB,01:02.8,14:43.4,1:55,TRUE,Spring,CAB,2,1
3539,3/9/2021 5:46,3/9/2021 7:00,motgonyi,jdunfee,IT,1,4,C4,50:15.0,khodar,IE - Server,Normal,13:12.0,CAB,01:02.7,14:43.3,1:12,TRUE,Spring,CAB,1.233333333,1
3538,3/9/2021 5:00,3/9/2021 7:00,degregio,degregio,GPS (Graduation Planning System),1,4,C4,18:49.0,wrobins,Web,Normal,25:31.0,CAB,01:02.6,14:43.3,1:55,TRUE,Spring,CAB,2,1
3537,3/11/2021 5:00,3/11/2021 7:00,mberry,degregio,Enterprise Application Services,0,4,C4,17:31.0,degregio,DegreeWorks,Normal,05:03.0,CAB,00:53.4,14:43.7,1:55,TRUE,Spring,CAB,2,1
3536,3/9/2021 6:00,3/9/2021 7:00,mladoia,sstillis,IS/UCM,1,4,C4,08:20.0,wrobins,Outsystems,Normal,47:42.0,CAB,00:53.3,14:43.5,0:57,TRUE,Spring,CAB,1,1
3535,3/9/2021 5:00,3/9/2021 7:00,tmohr2,wbainey,Infrastructure Operations,1,4,C4,03:19.0,wrobins,Web,Normal,17:12.0,CAB,00:53.3,14:43.5,1:55,TRUE,Spring,CAB,2,1
3534,3/4/2021 8:00,3/4/2021 17:00,cshaff14,wbainey,IE/ DCO,1,4,IE,57:33.0,nlupica1,IE - Server,Informational,00:00.0,Implemented,00:32.8,14:44.0,9:07,TRUE,Spring,CAB2,9,1
3533,3/11/2021 2:00,3/11/2021 6:00,amoreira,dbenner1,Admissions,0,3,V2,01:09.0,rbungo,Ed Tech,Vendor,00:00.0,Implemented,00:32.7,14:43.9,4:04,TRUE,Spring,CAB2,4,1
3532,3/16/2021 5:00,3/16/2021 6:00,degregio,degregio,GPS (Graduation Planning System),1,4,C4,44:52.0,adhuston,IE - CIG,Normal,13:28.0,CAB,00:32.6,14:43.8,0:57,TRUE,Spring,CAB,1,1
3531,3/16/2021 5:00,3/16/2021 6:00,mberry,codaniel,Bursar,0,4,C4,56:15.0,jpursel,IE - CIG,Normal,13:39.0,CAB,00:32.6,14:43.7,0:57,TRUE,Spring,CAB,1,1
3530,3/9/2021 5:00,3/9/2021 7:00,mberry,ssteph20,SA,1,4,C4,04:36.0,jdunfee,Outsystems,Normal,17:21.0,CAB,00:55.6,14:44.1,1:55,TRUE,Spring,CAB,2,1
3529,3/3/2021 5:00,3/3/2021 7:00,wrobins,motgonyi,is/sdi,0,3,S3,45:15.0,alizak,Network,Standard,00:00.0,Implemented,00:55.5,14:44.0,1:55,TRUE,Spring,CAB2,2,1
3528,3/2/2021 13:00,3/2/2021 15:00,jeveleth,jfishe16,OUA/Data Center,0,4,IE,52:10.0,tbordon1,Network,Informational,00:00.0,Implemented,00:49.3,14:44.2,1:55,TRUE,Spring,CAB2,2,1
3527,3/2/2021 6:00,3/2/2021 7:00,jbish,jbish,IT,1,4,C4,28:48.0,wrobins,Web,Urgent,29:51.0,Completed,00:36.6,14:44.4,0:57,TRUE,Spring,Completed,1,1
3526,3/5/2021 8:00,3/5/2021 8:30,alizak,mgeist,NTS,1,4,C4,20:19.0,pdudipal,CRM,Normal,39:07.0,CAB,00:36.5,14:44.3,0:28,TRUE,Spring,CAB,0.5,1
3525,3/16/2021 6:00,3/16/2021 6:30,jschilen,wbainey,SSE,1,4,C2,24:52.0,dmills1,IE - CIG,Normal,29:26.0,Completed,00:36.4,14:44.3,0:28,TRUE,Spring,Completed,0.5,1
3524,2/28/2021 5:00,2/28/2021 13:00,wzsmith,wzsmith,IE,1,4,C4,38:07.0,degregio,Banner,Urgent,31:59.0,CAB,00:18.1,14:44.5,7:55,TRUE,Spring,CAB,8,1
3522,2/28/2021 5:00,2/28/2021 7:00,ebolling,ebolling,IDM,0,4,C4,40:59.0,degregio,DegreeWorks,Normal,59:12.0,Completed,01:01.2,14:44.5,1:55,TRUE,Spring,Completed,2,1
3521,2/27/2021 7:00,2/27/2021 9:05,mladoia,sstillis,IS,1,4,C4,10:12.0,khodar,IE - Server,Urgent,38:08.0,CAB,30:39.4,14:44.6,2:09,TRUE,Spring,CAB,2.083333333,1
3520,3/3/2021 7:30,3/3/2021 12:00,jschilen,lpark,Security,1,4,IE,33:40.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:55.8,14:44.7,4:33,TRUE,Spring,CAB2,4.5,1
3519,3/7/2021 5:00,3/7/2021 17:00,tmohr2,wbainey,Infrastructure Operations,1,2,C2,27:22.0,mgeist,Network,Normal,30:28.0,Completed,45:15.8,14:49.3,12:00,TRUE,Spring,Completed,12,1
3518,2/28/2021 5:00,2/28/2021 5:30,wrobins,aesterl1,Office of the President,0,3,C2,45:57.0,mridgill,Banner,Normal,01:09.0,Completed,01:03.6,14:44.7,0:28,TRUE,Spring,Completed,0.5,1
3517,2/28/2021 6:00,2/28/2021 6:15,degregio,degregio,GPS (Graduation Planning System),1,3,C2,29:01.0,mridgill,Banner,Normal,58:19.0,Completed,30:35.6,14:44.8,0:14,TRUE,Spring,Completed,0.25,1
3516,2/28/2021 5:00,2/28/2021 7:00,dbenner1,bzahn,Platform Administration,0,4,C4,28:42.0,tbowser,Banner,Normal,59:16.0,CAB,01:00.6,14:44.9,1:55,TRUE,Spring,CAB,2,1
3515,2/28/2021 5:30,2/28/2021 6:00,achiccar,achiccar,NTS,0,2,C2,53:55.0,mridgill,Banner,Normal,00:28.0,Completed,01:02.3,14:45.1,0:28,TRUE,Spring,Completed,0.5,1
3514,3/1/2021 14:00,3/1/2021 14:30,wrobins,mpapania,is/sdi,1,4,C4,06:08.0,cirobert,Talend,Normal,20:33.0,CAB,01:02.3,14:45.0,0:28,TRUE,Spring,CAB,0.5,1
3513,2/18/2021 20:00,2/18/2021 22:00,jschilen,jaraber,ET,0,4,C2,27:23.0,mgeist,Network,Normal,35:13.0,Completed,01:02.2,14:45.0,1:55,TRUE,Spring,Completed,2,1
3512,2/28/2021 5:00,2/28/2021 7:00,jschilen,jschilen,CMS,1,4,C4,50:18.0,tbowser,Banner,Normal,04:00.0,CAB,00:54.8,14:46.0,1:55,TRUE,Spring,CAB,2,1
3511,2/28/2021 5:00,2/28/2021 5:15,degregio,degregio,GPS (Graduation Planning System),1,3,C2,24:32.0,mridgill,Banner,Normal,03:14.0,Completed,00:54.1,14:45.2,0:14,TRUE,Spring,Completed,0.25,1
3510,2/28/2021 5:00,2/28/2021 5:00,degregio,degregio,GPS (Graduation Planning System),1,4,C4,27:29.0,tbowser,Banner,Normal,48:13.0,CAB,01:17.8,14:45.5,0:00,TRUE,Spring,CAB,0,1
3509,2/28/2021 6:00,2/28/2021 7:00,jlpiporo,mgeist,NTS,1,4,C3,11:39.0,jschilen,IE - Server,Normal,55:37.0,Completed,01:17.8,14:45.4,0:57,TRUE,Spring,Completed,1,1
3508,3/2/2021 5:00,3/2/2021 7:00,mgeist,mgeist,"NTS, IE",0,4,C3,01:40.0,lbowser,Document Imaging,Normal,27:44.0,Completed,01:17.7,14:45.3,1:55,TRUE,Spring,Completed,2,1
3507,2/24/2021 14:00,2/24/2021 17:00,adhuston,adhuston,Infrastructure Engineering,1,4,IE,00:53.0,achiccar,Network,Informational,00:00.0,Implemented,00:59.7,14:45.6,3:07,TRUE,Spring,CAB2,3,1
3506,3/2/2021 5:00,3/2/2021 7:00,mberry,tbowser,Human Resources,1,3,S2,37:49.0,mladoia,WWW,Standard,00:00.0,Implemented,00:59.6,14:45.5,1:55,TRUE,Spring,CAB2,2,1
3505,3/2/2021 5:00,3/2/2021 7:00,mberry,treynold,Library Services,1,4,C4,45:45.0,wrobins,Web,Normal,49:15.0,CAB,00:53.4,14:45.7,1:55,TRUE,Spring,CAB,2,1
3504,2/23/2021 7:30,2/23/2021 13:00,tbordon1,mgeist,NTS,1,4,IE,01:52.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:34.4,14:46.1,5:31,TRUE,Spring,CAB2,5.5,1
3503,2/25/2021 7:30,2/25/2021 14:00,mberry,treynold,Registrar,1,4,IE,03:48.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:34.2,14:45.8,6:28,TRUE,Spring,CAB2,6.5,1
3502,2/28/2021 5:00,2/28/2021 7:00,degregio,degregio,GPS (Graduation Planning System),1,4,C2,24:42.0,mmeszar,IE - CIG,Normal,31:03.0,Completed,00:34.1,14:45.7,1:55,TRUE,Spring,Completed,2,1
3501,2/23/2021 7:30,2/23/2021 13:00,wrobins,aesterl1,Office of the President,0,4,IE,01:52.0,cshaff14,Data Center,Informational,00:00.0,Implemented,01:20.5,01:03.8,5:31,TRUE,Spring,CAB2,5.5,1
3500,2/23/2021 6:15,2/23/2021 7:00,wbainey,jeveleth,Data Center Operations,1,4,S4,00:24.0,alizak,Network,Standard,00:00.0,Implemented,01:20.4,14:45.9,0:43,TRUE,Spring,CAB2,0.75,1
3499,3/13/2021 7:00,3/13/2021 9:00,mboehlke,mboehlke,Security Access Management,0,4,IE,45:20.0,cshaff14,Data Center,Informational,00:00.0,Implemented,01:02.3,14:46.2,1:55,TRUE,Spring,CAB2,2,1
3498,2/23/2021 6:00,2/23/2021 6:30,sbandari,sbandari,Advancement,1,4,C4,43:20.0,jdunfee,Outsystems,Urgent,10:51.0,Completed,01:02.3,14:46.1,0:28,TRUE,Spring,Completed,0.5,1
3497,2/23/2021 5:00,2/23/2021 7:00,rmmiles,rmmiles,IDM,1,4,C4,03:22.0,alizak,Network,Normal,06:20.0,Completed,00:29.0,14:46.5,1:55,TRUE,Spring,Completed,2,1
3496,2/19/2021 8:00,2/19/2021 8:30,codaniel,dsharnsk,Bursar,1,4,C4,43:38.0,jdunfee,Outsystems,Urgent,48:19.0,Completed,00:28.9,14:46.5,0:28,TRUE,Spring,Completed,0.5,1
